"","Rank","Film","Studio","Genre","Year","Gross","Gross.Dom","Pct.Dom","Gross.Ovr","Pct.Ovr","Rotten","IMDB","Rating","Days","Budget"
"75",124,"Indiana Jones and the Last Crusade","Par.","Action/Adventure",1989,474200000,197200000,0.416,277000000,0.584,89,8.3,"PG13",162,48
"76",126,"Jaws","Uni.","Action/Adventure",1975,470700000,260000000,0.552,210700000,0.448,100,8.2,"PG",141,7
"77",127,"The Hangover","WB","Comedy",2009,467500000,277300000,0.593,190200000,0.407,79,7.8,"R",196,35
"78",128,"The Matrix","WB","Action/Adventure",1999,463500000,171500000,0.37,292000000,0.63,87,8.7,"R",212,63
"79",131,"X-Men: The Last Stand","Fox","Action/Adventure",2006,459400000,234400000,0.51,225000000,0.49,57,6.8,"PG13",126,210
"80",132,"Mission: Impossible","Par.","Action/Adventure",1996,457700000,181000000,0.395,276700000,0.605,61,7,"PG13",212,80
"81",135,"The Last Samurai","WB","Action/Adventure",2003,456800000,111100000,0.243,345600000,0.757,65,7.7,"R",126,140
"82",136,"300","WB","Action/Adventure",2007,456100000,210600000,0.462,245500000,0.538,60,7.7,"R",126,65
"83",137,"Ocean's Eleven","WB","Action/Adventure",2001,450700000,183400000,0.407,267300000,0.593,82,7.7,"PG13",176,85
"84",138,"Thor","Par.","Action/Adventure",2011,449300000,181000000,0.403,268300000,0.597,77,7,"PG13",112,150
"85",142,"The Bourne Ultimatum","Uni.","Action/Adventure",2007,442800000,227500000,0.514,215400000,0.486,94,8.1,"PG13",119,110
"86",143,"Men in Black II","Sony","Action/Adventure",2002,441800000,190400000,0.431,251400000,0.569,39,5.5,"PG13",62,140
"87",144,"The Exorcist","WB","Drama",1973,441300000,232900000,0.528,208400000,0.472,87,8,"R",112,10.497444
"88",145,"Mrs. Doubtfire","Fox","Comedy",1993,441300000,219200000,0.497,222100000,0.503,71,6.7,"PG13",131,25
"89",146,"Les Miserables (2012)","Uni.","Drama",2012,437700000,148800000,0.34,288900000,0.66,69,7.7,"PG13",101,61
